Tree 1 Details
_______________

Id 	x2 	 y2 	 length 	 angle 	 	x1 	 y1 	 parentid   level
1     	    0 	 50   	        50 	        90 	 0    	 0    	     -1 	0 
2     	  -19 	 90   	        44 	       115 	 0    	 50   	      1 	1 
3     	   19 	 90   	        44 	        65 	 0    	 50   	      1 	1 
4     	  -48 	 117  	        39 	       137 	 -19  	 90   	      2 	2 
5     	  -21 	 129  	        39 	        93 	 -19  	 90   	      2 	2 
6     	   21 	 129  	        39 	        87 	 19   	 90   	      3 	2 
7     	   48 	 117  	        39 	        43 	 19   	 90   	      3 	2 
8     	  -79 	 131  	        34 	       156 	 -48  	 117  	      4 	3 
9     	  -64 	 147  	        34 	       118 	 -48  	 117  	      4 	3 
10    	  -34 	 161  	        34 	       112 	 -21  	 129  	      5 	3 
11    	  -12 	 162  	        34 	        74 	 -21  	 129  	      5 	3 
12    	   12 	 162  	        34 	       106 	 21   	 129  	      6 	3 
13    	   34 	 161  	        34 	        68 	 21   	 129  	      6 	3 
14    	   64 	 147  	        34 	        62 	 48   	 117  	      7 	3 
15    	   79 	 131  	        34 	        24 	 48   	 117  	      7 	3 

_____________________________________________________________________________________________________________


Tree 2 Details
_______________

id 	x2 	 y2 	 length 	 angle 	 	x1 	 y1 	 parentid   level
16    	   48 	 217  	       100 	        90 	 48   	 117  	     -2 	0 
17    	   10 	 298  	        89 	       115 	 48   	 217  	     16 	1 
18    	   48 	 307  	        90 	        90 	 48   	 217  	     16 	1 
19    	   86 	 298  	        89 	        65 	 48   	 217  	     16 	1 
20    	  -51 	 349  	        79 	       140 	 10   	 298  	     17 	2 
21    	  -23 	 370  	        79 	       115 	 10   	 298  	     17 	2 
22    	   10 	 378  	        80 	        90 	 10   	 298  	     17 	2 
23    	   15 	 379  	        79 	       115 	 48   	 307  	     18 	2 
24    	   48 	 387  	        80 	        90 	 48   	 307  	     18 	2 
25    	   81 	 379  	        79 	        65 	 48   	 307  	     18 	2 
26    	   86 	 378  	        80 	        90 	 86   	 298  	     19 	2 
27    	  119 	 370  	        79 	        65 	 86   	 298  	     19 	2 
28    	  147 	 349  	        79 	        40 	 86   	 298  	     19 	2 
29    	 -118 	 367  	        69 	       165 	 -51  	 349  	     20 	3 
30    	 -104 	 393  	        68 	       140 	 -51  	 349  	     20 	3 
31    	  -80 	 412  	        69 	       115 	 -51  	 349  	     20 	3 
32    	  -76 	 414  	        68 	       140 	 -23  	 370  	     21 	3 
33    	  -52 	 433  	        69 	       115 	 -23  	 370  	     21 	3 
34    	  -23 	 440  	        70 	        90 	 -23  	 370  	     21 	3 
35    	  -19 	 441  	        69 	       115 	 10   	 378  	     22 	3 
36    	   10 	 448  	        70 	        90 	 10   	 378  	     22 	3 
37    	   39 	 441  	        69 	        65 	 10   	 378  	     22 	3 
38    	  -38 	 423  	        68 	       140 	 15   	 379  	     23 	3 
39    	  -14 	 442  	        69 	       115 	 15   	 379  	     23 	3 
40    	   15 	 449  	        70 	        90 	 15   	 379  	     23 	3 
41    	   19 	 450  	        69 	       115 	 48   	 387  	     24 	3 
42    	   48 	 457  	        70 	        90 	 48   	 387  	     24 	3 
43    	   77 	 450  	        69 	        65 	 48   	 387  	     24 	3 
44    	   81 	 449  	        70 	        90 	 81   	 379  	     25 	3 
45    	  110 	 442  	        69 	        65 	 81   	 379  	     25 	3 
46    	  134 	 423  	        68 	        40 	 81   	 379  	     25 	3 
47    	   57 	 441  	        69 	       115 	 86   	 378  	     26 	3 
48    	   86 	 448  	        70 	        90 	 86   	 378  	     26 	3 
49    	  115 	 441  	        69 	        65 	 86   	 378  	     26 	3 
50    	  119 	 440  	        70 	        90 	 119  	 370  	     27 	3 
51    	  148 	 433  	        69 	        65 	 119  	 370  	     27 	3 
52    	  172 	 414  	        68 	        40 	 119  	 370  	     27 	3 
53    	  176 	 412  	        69 	        65 	 147  	 349  	     28 	3 
54    	  200 	 393  	        68 	        40 	 147  	 349  	     28 	3 
55    	  214 	 367  	        69 	        15 	 147  	 349  	     28 	3 
